147108

860506
9.95 exec/s
73 Enter ecall_OBJ_nid2sn
1069 Enter ecall_SSL_CTX_sess_set_new_cb
86 Enter ecall_SSL_select_next_proto
3495 Enter ecall_CRYPTO_set_dynlock_create_callback
132 Enter ecall_SSL_new
1188 Enter ecall_SSL_read
75 Enter ecall_SSL_get_rbio
1061 Enter ecall_X509_set_ex_data
174 Enter ecall_BN_num_bits
1220 Enter ecall_SSL_CTX_callback_ctrl
1177 Enter ecall_X509_NAME_delete_entry
54 Enter ecall_SSL_get_privatekey
2374 Enter ecall_SSL_CTX_sess_set_remove_cb
80 Enter ecall_X509_get_cert_key_algor_algorithm
548 Enter ecall_SSL_get_current_cipher
66 Enter ecall_SSL_set_cipher_list
313 Enter ecall_SSL_CTX_set_info_callback
88 Enter ecall_OPENSSL_config
179 Enter ecall_SSL_use_PrivateKey
68 Enter ecall_SSL_get_servername
2052 Enter ecall_ASN1_INTEGER_to_BN
1166 Enter ecall_SSL_get_version_as_int
92 Enter ecall_SSL_set_session_id_context
177 Enter ecall_BN_to_ASN1_INTEGER
81 Enter ecall_start_sgx_thread
119 Enter ecall_X509_check_issued
188 Enter ecall_EVP_DigestUpdate
132 Enter ecall_SSL_get_ciphers
111 Enter ecall_SSL_set_alpn_protos
164 Enter ecall_SSL_get_shutdown
118 Enter ecall_SSL_SESSION_get_id
105 Enter ecall_X509_get_algorithm
69 Enter ecall_i2d_SSL_SESSION
76 Enter ecall_SSL_set_verify
56 Enter ecall_SSL_get_wbio
118 Enter ecall_SSL_get_peer_certificate
948 Enter ecall_SSL_CTX_use_PrivateKey
78 Enter ecall_SSL_shutdown
71 Enter ecall_SSL_free
60 Enter ecall_SSL_pending
130 Enter ecall_SSL_get_SSL_CTX
57 Enter ecall_SSL_CTX_set_tmp_dh_callback
77 Enter ecall_SSL_set_connect_state
81 Enter ecall_SSL_get_verify_mode
76 Enter ecall_SSL_CIPHER_description
80 Enter ecall_SSL_set_info_callback
65 Enter ecall_SSL_accept
84 Enter ecall_SSL_set_bio
134 Enter ecall_X509_NAME_ENTRY_free
69 Enter ecall_SSL_set_shutdown
85 Enter ecall_SSL_connect
97 Enter ecall_SSL_state
88 Enter ecall_sk_pop_free
61 Enter ecall_SSL_CTX_ctrl
71 Enter ecall_SSL_use_certificate
67 Enter ecall_SSL_ctrl
84 Enter ecall_SSL_get_certificate
74 Enter ecall_SSL_CTX_set_cipher_list
103 Enter ecall_SSL_set_fd
64 Enter ecall_SSL_set_verify_result
